日期,測站,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015/01/01,龍潭,12.625,0.43833,2.60417,10.05,12.74167,40.70833,94.5,42.20833,0,62.625,4.62917,64.33333,64.79167,7.1125
2015/01/02,龍潭,7.07917,13.08333,0.28125,3.04167,8.2375,11.22917,36.54167,45.04167,19.20833,0,63.54167,1.60417,71.16667,73.54167
2015/01/03,龍潭,5.30833,5.1,15.375,0.5425,8.675,19.71667,28.43333,30.18333,53.29167,24.79167,0,65.95833,1.82083,146.45833
2015/01/04,龍潭,146.58333,1.6,1.39167,16.66667,0.64,4.57917,20.98333,25.67917,30.22083,74.04167,45.5,0,72.41667,2.74583
2015/01/05,龍潭,220.33333,193.925,1.37917,1.01667,18.33333,0.84125,18.43333,30.1,48.4625,18.35833,72.95833,42.0,0,69.79167
2015/01/06,龍潭,3.17917,174.16667,177.29167,1.2375,1.05417,19.54167,0.53333,4.75417,18.4375,23.27083,30.57083,60.58333,27.375,0
2015/01/07,龍潭,71.75,2.92917,98.0,112.58333,2.79583,2.30417,14.08333,0.51208,2.1875,13.375,15.475,31.66667,36.25,15.95652
2015/01/08,龍潭,0.4,85.75,1.9625,66.58333,66.83333,3.9625,3.8125,12.20833,0.41542,2.71667,10.49167,13.15417,33.83333,78.875
2015/01/09,龍潭,37.16667,0,66.625,3.82917,96.58333,96.875,5.95417,5.67083,14.375,0.32208,1.54545,12.11364,13.59545,35.5
2015/01/10,龍潭,49.04167,24.0,0,65.625,2.1375,92.95833,93.375,5.16667,5.09167,15.66667,0.26083,1.41818,6.52727,7.89545
2015/01/11,龍潭,41.875,41.375,16.875,0,63.875,1.525,98.125,98.04167,5.45833,5.19167,16.04167,0.35667,1.62083,5.80417
2015/01/12,龍潭,7.40417,51.54167,53.79167,29.70833,0,68.95833,2.30417,99.16667,99.25,5.7625,5.59583,16.75,0.34913,2.10435
2015/01/13,龍潭,7.03913,9.03478,53.78261,47.17391,21.34783,0,69.45833,1.77273,98.85,98.66667,6.79048,6.74,19.33333,0.44292
2015/01/14,龍潭,1.91739,15.1913,17.21304,49.45833,52.0,20.54167,2.46667,67.625,2.975,214.63636,213.3913,2.31304,1.97273,14.75
2015/01/14,龍潭,0.37625,1.5,15.275,16.845,28.52381,25.33333,10.04167,0.72,85.41667,2.31667,144.80833,161.25,3.025,2.60833
2015/01/15,龍潭,14.66667,0.33292,3.70909,14.37273,17.88182,28.70833,41.625,16.75,0,73.29167,2.2375,52.66667,52.375,4.98333
2015/01/16,龍潭,4.8125,15.75,0.42208,4.59167,16.6625,21.20833,31.5125,48.45833,21.70833,0,75.625,2.3875,72.25833,95.83333
2015/01/17,龍潭,2.66667,1.87083,14.125,0.48,1.375,9.725,11.1125,44.41667,97.41667,58.04167,0,65.04167,3.08333,60.66667
2015/01/18,龍潭,60.29167,6.7875,6.62083,15.29167,0.40208,1.5,9.83478,11.27826,37.16667,53.45833,25.83333,0,69.66667,1.87917
2015/01/19,龍潭,54.625,54.58333,4.48333,3.97083,14.70833,0.36083,1.56818,9.10455,10.58182,50.20833,78.95833,32.125,0,63.625
2015/01/20,龍潭,2.28333,56.04167,56.08333,7.41667,7.16667,17.20833,0.55292,2.80909,18.94091,21.75,37.6087,78.04167,36.33333,0
2015/01/21,龍潭,67.125,2.45,72.0,81.95833,1.96667,1.89583,15.79167,0.57417,4.35417,22.625,27.0,28.28333,83.41667,36.66667
2015/01/22,龍潭,0.23333,83.875,2.59167,122.3125,136.91667,1.75417,1.05417,13.70833,0.64333,5.1875,20.37917,25.39583,40.60833,95.125
2015/01/23,龍潭,50.125,0,64.16667,4.1,89.66667,101.5,1.7375,1.15,13.82083,0.63708,3.75,22.17273,25.88636,36.58333
2015/01/24,龍潭,81.625,46.625,0,61.875,3.50833,78.44167,83.875,1.89167,1.47083,15.2375,0.57458,4.50476,23.90476,28.47619
2015/01/25,龍潭,32.55417,70.0,32.95833,0,60.16667,2.3125,190.70833,195.20833,1.36667,1.23333,17.70833,0.585,3.66667,23.55238
2015/01/26,龍潭,27.28571,32.125,80.08333,42.75,0,67.79167,4.10833,162.66667,178.20833,1.60833,1.25833,17.5,0.5775,6.43636
2015/01/27,龍潭,27.45455,34.04545,22.14583,71.66667,34.0,0,80.54167,5.17083,80.49583,70.325,1.75417,1.15,16.20833,0.47318
2015/01/28,龍潭,2.02381,13.17619,15.13333,41.3913,47.26087,22.47826,1.22,88.625,2.57391,54.16667,54.20833,4.45833,4.34167,14.625
2015/01/28,龍潭,0.36625,3.65417,9.58333,13.225,35.58333,25.875,12.29167,0,83.45833,2.10417,52.79167,52.375,6.38333,6.25417
2015/01/29,龍潭,17.08333,0.39167,3.17917,16.4125,19.64167,29.0,33.83333,11.25,0,82.58333,3.07083,112.58333,142.0,2.55417
2015/01/30,龍潭,2.00833,14.20833,0.32087,3.1,11.98182,15.21818,26.34783,34.04348,9.17391,0.2,89.83333,2.15217,48.41667,50.20833
2015/01/31,龍潭,3.4125,2.825,13.0,0.47375,1.655,11.3,13.005,32.16667,31.83333,15.45833,0,83.83333,2.525,50.375
2015/02/01,龍潭,49.66667,5.92083,5.67917,14.70833,0.30667,4.20455,9.38182,13.61364,32.875,27.79167,10.83333,0,77.95833,1.70417
